nombre,usuario,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,mencion,texto_tokenizado,lematizado
Gustavo Petro,@petrogustavo,616,2200,6700,"['@sputnikvaccine', '@thelancet']",la vacuna rusa ha cumplido todas las fases de investigación científica incluida la investigación por pares y alcanza de eficiencia para casos graves le propongo al presidente que construya una coordinación de países latinoamericanos para negociar este tipo de vacunaquote tweet sputnik v feb breaking sputnikv phase clinical trials results in its efficacy overall for severe cases have been validated by internationally peer reviewed data with logistics at c and shot sputnik v is a vaccine for all humankind ,el vacuna ruso haber cumplir todo el fase de investigación científico incluir el investigación por par y alcanzar de eficiencia para caso grave él proponer al presidente que construir uno coordinación de país latinoamericano para negociar este tipo de vacunaquote tweet sputnik v feb breaking sputnikv phase clinical trials results in its efficacy overall for severe cases have been validated by internationally peer reviewed data with logistics at c and shot sputnik v is a vaccine for all humankind
Gustavo Petro,@petrogustavo,34,347,1000,[],para el efecto debe citarse extraordinariamente las asambleas de naciones unidas la organización mundial de la salud y la organización mundial del comercio ,para el efecto deber citar él extraordinariamente el asamblea de naciones unidas el organización mundial de el salud y el organización mundial del comercio
Gustavo Petro,@petrogustavo,29,367,1000,[],liberar las patentes de las vacunas a través del articulo de la adpic de la organización mundial del comercio y producir las vacunas en nuestros países fortalecer el covax con el envío del de las vacunas compradas por los países ricos,liberar el patente de el vacuna a través del articulo de el adpic de el organización mundial del comercio y producir el vacuna en nuestro país fortalecer el covax con el envío del de el vacuna comprado por el país rico
Gustavo Petro,@petrogustavo,302,899,3500,['@vonkoutli'],un poco así es el mundo miles de millones ante la barbarie y no se dan cuenta de ella quote tweet àngel marrades feb una mujer hizo su clase de aerobic sin darse cuenta de que estaban dando el golpe de estado en myanmar y pues puede verse como el convoy de militares llega al parlamento show this thread,uno poco así ser el mundo mil de millón ante el barbarie y no él dar cuenta de él quote tweet àngel marrades feb uno mujer hacer su clase de aerobic sin dar él cuenta de que estar dar el golpe de estado en myanmar y pues poder ver él como el convoy de militar llegar al parlamento show this thread
Gustavo Petro,@petrogustavo,127,597,1300,[],el presidente del salvador lanza un ataque contra el proceso de paz hecho hace varias décadas y de inmediato un grupo paramilitar asesina militantes del fmln aun no se entiende que la violencia verbal desde el poder desencadena todas las violencias dos muertos y cinco heridos en ataque contra militantes de izquierda en el salvador el presidente nayib bukele anunció en twitter que todos los responsables pagarán por sus actos sean quienes sean ntn com,el presidente del salvador lanza uno ataque contra el proceso de paz hecho hacer varios década y de inmediato uno grupo paramilitar asesinar militante del fmln aun no él entender que el violencia verbal desde el poder desencadenar todo el violencia dos muerto y cinco herido en ataque contra militante de izquierda en el salvador el presidente nayib bukele anunciar en twitter que todo el responsable pagar por su acto ser quien ser ntn com
Gustavo Petro,@petrogustavo,56,690,1500,[],historias como ésta donde el amor impulsa y la guerra y el poder lo destruye todo me llevó a los debates sobre los vínculos del paramilitarismo con el poder un país democrático donde esto no ocurra se convirtió en el objetivo máximo marisol padilla se infiltró como prostituta para encontrar a su esposo y a su hijo el de noviembre de los paramilitares del bloque norte la violentaron sexualmente y luego se llevaron a su esposo e hijo marcos antonio y víctor elespectador com,historia como este donde el amor impulsar y el guerra y el poder él destruir todo yo llevar a el debate sobre el vínculo del paramilitarismo con el poder uno país democrático donde este no ocurrir él convertir en el objetivo máximo marisol padilla él infiltrar como prostituta para encontrar a su esposo y a su hijo el de noviembre de el paramilitar del bloque norte él violentar sexualmente y luego él llevar a su esposo e hijo marcos antonio y víctor elespectador com
Gustavo Petro,@petrogustavo,112,449,1700,[],la estrategia nacional contra el covid merecería desde las posiciones que nos diferencian el esfuerzo al menos de una concertación queremos discutir con el gobierno estrategias en la lucha contra el covid que podrían mejorar la situación de la sociedad colombiana,el estrategia nacional contra el covid merecer desde el posición que yo diferenciar el esfuerzo al menos de uno concertación querer discutir con el gobierno estrategia en el lucha contra el covid que poder mejorar el situación de el sociedad colombiano
Gustavo Petro,@petrogustavo,303,1200,4300,[],el pacto histórico que proponemos incluye al uribismo si lo desea no nos negamos ni nos negaremos jamás al dialogo negar el diálogo es confesar la debilidad del argumento y la razón usted se dedicó a polarizar y a mentir jamás a sumar nassar a petro el líder del movimiento colombia humana manifestó a través de redes sociales su deseo de conversación con el presidente iván duque caracol com co,el pacto histórico que proponer incluir al uribismo si él desear no yo negar ni yo negar jamás al dialogo negar el diálogo ser confesar el debilidad del argumento y el razón usted él dedicar a polarizar y a mentir jamás a sumar nassar a petro el líder del movimiento colombia humano manifestar a través de red social su deseo de conversación con el presidente iván duque caracol com co
Gustavo Petro,@petrogustavo,108,880,2200,[],comunicado que firmamos con progresistas del mundo en torno a la situación en ecuador y el respeto a la decisión popular,comunicado que firmar con progresista del mundo en torno a el situación en ecuador y el respeto a el decisión popular
Gustavo Petro,@petrogustavo,245,2200,6200,[],gustavo bolívar como augusto ocampo fueron vendedores ambulantes el uno hoy senador y el otro abogado pueden hablar de la empatía con los excluidos y el despotismo del podergustavo bolívar le da lecciones de humanidad a claudia lópez a propósito del trato que la alcaldesa le dio a alexander el joven de la polémica en el centro el senador recordó su humilde pasado como vendedor ambulante las orillas co,gustavo bolívar como augusto ocampo ser vendedor ambulante el uno hoy senador y el otro abogado poder hablar de el empatía con el excluido y el despotismo del podergustavo bolívar él dar lección de humanidad a claudia lópez a propósito del trato que el alcaldesa él dar a alexander el joven de el polémica en el centro el senador recordar su humilde pasado como vendedor ambulante el orilla co
