nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-18T15:57:54.000Z,"ÚNETE A LAS JUVENTUDES CON EL INGENIERO RODOLFO 
¡La vieja política ha muerto, ahora sí llegó la hora de los jóvenes!

Registo y requisitos :  https://bit.ly/CONVOCATORIA_JUVENTUDES…
@LigaGobernantes
 

#IngenieroRodolfo",,8,20,76,https://twitter.com/ingrodolfohdez/status/1405917697465106436
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-17T22:51:00.000Z,"#EcoTurismo en #ElSalvador , la nueva apuesta del gobierno de 
@nayibbukele
 ¡es impresionante la tarea que hace el Presidente Nayib especialmente por los más pobres de #ElSalvador ¡un ejemplo para Colombia!",,20,41,246,https://twitter.com/ingrodolfohdez/status/1405659270880845824
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-17T13:40:37.000Z,"Una vez más el gobierno nos miente en la cara con la #MatriculaCero y a la vez aumenta el presupuesto en la procuraduría pa meter más gente que defienda bandidos ¿nos sorprende? No, no nos sorprende.",,27,119,390,https://twitter.com/ingrodolfohdez/status/1405520761612214283
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-16T22:17:08.000Z,"5 Minutos con el Ingeniero #35Ing Rodolfo Hernandez !
@ingrodolfohdez
5 Minutos con el Ingeniero #35
pscp.tv",,3,12,48,https://twitter.com/ingrodolfohdez/status/1405288357194727424
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-16T22:09:56.000Z,"5 Minutos con el Ingeniero #35Ing Rodolfo Hernandez !
@ingrodolfohdez
5 Minutos con el Ingeniero #35
pscp.tv",,2,4,23,https://twitter.com/ingrodolfohdez/status/1405286549386760194
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-05T16:52:48.000Z,Mientras la corrupción va en avión la lucha contra ella va a pie.,,34,104,469,https://twitter.com/ingrodolfohdez/status/1401220471522213890
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-04T17:38:24.000Z,"¡EL PAÍS NO ES DE URIBE! 
 
@LigaGobernantes
 #IngRodolfo",,20,61,200,https://twitter.com/ingrodolfohdez/status/1400869558848737281
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-04T17:09:00.000Z,"JÓVENES ¿YA INSCRIBIERON LA CÉDULA? 
@LigaGobernantes
  #IngRodolfo #LIGAdeGobernantes",,7,24,86,https://twitter.com/ingrodolfohdez/status/1400862161765871617
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-03T20:41:50.000Z,"ENTREVISTA CON #CuentasClaras 
Clic Jueves de reflexión
Hoy hablaremos con el ingeniero Rodolfo Hernandez
facebook.com",,1,7,19,https://twitter.com/ingrodolfohdez/status/1400553335472672775
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-03T17:09:29.000Z,"Ahora toca traer mecánicos, pilotos, entrenadores y repuestos de Italia ¡Imagínense el despilfarro que van a hacer desde la Presidencia de la República!",,9,42,135,https://twitter.com/ingrodolfohdez/status/1400499893756743684
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-03T17:09:15.000Z,"¡SON UNOS VERDADEROS DESCARADOS! ¿Cómo es posible que en Colombia mientras la gente se está muriendo de hambre y el país en semejante estallido social, el presidente 
@IvanDuque
 compra el 4to helicóptero?",,41,160,376,https://twitter.com/ingrodolfohdez/status/1400499836118519813
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-03T01:09:25.000Z,"Sr. Gobernador 
@MAguilarHurtado
 y sr. Alcalde 
@JCardenasRey
 ¡Dejen a los muchachos expresarse y retiren el esmad! De por Dios la violencia genera más violencia #sosbucaramanga #2Junio",,63,170,548,https://twitter.com/ingrodolfohdez/status/1400258287451394052
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-02T22:00:20.000Z,"5 Minutos con el IngenieroIng Rodolfo Hernandez !
@ingrodolfohdez
5 Minutos con el Ingeniero
pscp.tv",,10,17,66,https://twitter.com/ingrodolfohdez/status/1400210703080775681
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-02T15:15:54.000Z,"#AlAire  El ingeniero Rodolfo en entrevista con #DemoCrítica DemoCrítica - Brújula Electoral: Rodolfo Hernández | Facebook
¡Hoy conversamos con Rodolfo Hernández! No se lo pierdan, dejen sus preguntas en los comentarios. #BRÚJULAELECTORAL
facebook.com",,,3,15,https://twitter.com/ingrodolfohdez/status/1400108921193381891
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-22T15:24:43.000Z,"Los politiqueros abandonaron el campo, abandonaron la riqueza de nuestra tierra y a los miles de millones de pequeños y medianos productores agrícolas dispuestos a trabajarla, esta es una de las verdaderas razones del paro y las protestas. #IngRodolfo #ParoNacional22M",,32,96,379,https://twitter.com/ingrodolfohdez/status/1396124876071751681
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-20T21:20:48.000Z,Una integrante del equipo de Rodolfo Hernández agredida en la represión en la #UIS,,11,46,130,https://twitter.com/ingrodolfohdez/status/1395489709812592642
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-20T18:08:17.000Z,"Una gran oportunidad para que la 
@CorteSupremaJ
 no sólo le escudriñe el alma al ex gobernador 
@RichardAguilar
 sino que le haga un aforo entre ingresos, egresos y patrimonio",,6,33,116,https://twitter.com/ingrodolfohdez/status/1395441262199812111
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-20T18:07:52.000Z,"7 años se demoró la 
@CorteSupremaJ
 para citar al ex-gobernador 
@RichardAguilar
 por lo que todo Santander sabe: El manejo inescrupuloso de los dineros públicos de los Santandereanos a través de sus testaferros Julian Jaramillo y Felipe Villamil.El senador Richard Aguilar fue citado a indagatoria por la Corte Suprema de Justicia
A indagatoria fue citado el senador santandereano por el partido Cambio Radical, Richard Aguilar Villa ""por presunta asociación para cometer delitos contra la administración pública, contrato sin...
vanguardia.com",,24,71,191,https://twitter.com/ingrodolfohdez/status/1395441158227210240
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-20T15:12:56.000Z,"LA VIOLENCIA GENERA MÁS VIOLENCIA #IngRodolfo #ParoNacional20M #NoMasViolencia0:43
2,5 mil reproducciones",,19,36,116,https://twitter.com/ingrodolfohdez/status/1395397132170022916
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-18T19:55:50.000Z,EL PARO VA A PARAR CUANDO DEJEN DE ROBAR #IngRodolfo #ParoNacional,,42,138,482,https://twitter.com/ingrodolfohdez/status/1394743552907882497
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-18T18:41:33.000Z,"Adhiero a las manifestaciones de 
@sergio_fajardo
 y 
@petrogustavo
 sobre la necesidad de establecer un diálogo democrático sin agresiones ni violencia de todos los sectores progresistas que quieren construir una nueva política y una nueva democracia sin exclusiones ni odios",,71,168,843,https://twitter.com/ingrodolfohdez/status/1394724856701374466
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-05-18T16:11:57.000Z,"Sr. Presidente 
@IvanDuque
 la violencia genera más violencia y no gana nada; mientras no se atiendan las causas pueden tirar todas las balas que quieran y el problema sigue ¡atienda al pueblo ya de por Dios! Esto no se arregla con politiqueros.Citar Tweet
Vanguardia
@vanguardiacom
 · 17 may.
#Atención El presidente @IvanDuque acaba de ordenar a la fuerza pública “un despliegue operacional” para levantar los bloqueos de los manifestantes en todo el país. 

Noticia en desarrollo...",,17,82,256,https://twitter.com/ingrodolfohdez/status/1394687211354873857
